epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1556.28,0.51169,0.43682,0.99535,0.958,1,0.994,0.88948,0.48864,0.3461,1.08019,0.000990365,0.000990365,0.000990365
43,1592.38,0.49817,0.42332,0.98978,0.99124,0.99219,0.99488,0.89278,0.47649,0.33514,1.10142,0.000973861,0.000973861,0.000973861
44,1628.08,0.48197,0.41479,0.9973,0.97166,0.99108,0.99226,0.88547,0.48058,0.35449,1.0809,0.000957358,0.000957358,0.000957358
45,1664.35,0.48598,0.4282,1.00516,0.98671,0.99492,0.9942,0.88365,0.50416,0.32521,1.10763,0.000940855,0.000940855,0.000940855
46,1701.16,0.45343,0.39552,0.9712,0.97428,0.9992,0.99357,0.91209,0.44486,0.31187,1.02587,0.000924352,0.000924352,0.000924352
47,1737.88,0.50338,0.42907,1.00535,0.97266,0.98663,0.99407,0.8986,0.47406,0.32904,1.07849,0.000907848,0.000907848,0.000907848
48,1773.72,0.49118,0.41847,0.98699,0.97797,0.97382,0.9934,0.90957,0.4466,0.33397,1.04871,0.000891345,0.000891345,0.000891345
49,1810.05,0.45188,0.38923,0.96706,0.97663,0.99375,0.99343,0.8893,0.46556,0.32489,1.07005,0.000874842,0.000874842,0.000874842
50,1845.97,0.45797,0.39565,0.97723,0.98853,0.988,0.99477,0.90465,0.46707,0.31447,1.03622,0.000858338,0.000858338,0.000858338
51,1882.31,0.44964,0.38378,0.96635,0.98176,0.9851,0.99433,0.90426,0.44852,0.32457,1.07153,0.000841835,0.000841835,0.000841835
52,1918.32,0.4315,0.37217,0.95476,0.98277,0.99306,0.99476,0.91709,0.45189,0.30542,1.0414,0.000825332,0.000825332,0.000825332
53,1955.3,0.43633,0.37482,0.9545,0.98801,0.99286,0.9919,0.90583,0.49727,0.32787,1.05964,0.000808828,0.000808828,0.000808828
54,1991.71,0.44468,0.36873,0.96526,0.98087,1,0.99477,0.90504,0.47188,0.30437,1.07354,0.000792325,0.000792325,0.000792325
55,2027.64,0.43423,0.36628,0.95794,0.98634,0.98766,0.99494,0.90914,0.44774,0.29799,1.05396,0.000775822,0.000775822,0.000775822
56,2064.07,0.4451,0.37819,0.97023,0.98896,0.99231,0.99438,0.91714,0.41946,0.2987,1.02529,0.000759318,0.000759318,0.000759318
57,2101.3,0.42989,0.38966,0.96709,0.97608,1,0.99494,0.91852,0.41136,0.28939,1.02434,0.000742815,0.000742815,0.000742815
58,2138.71,0.42087,0.36819,0.94355,0.98102,0.98729,0.99334,0.92262,0.40835,0.29345,1.01567,0.000726312,0.000726312,0.000726312
59,2175.69,0.43161,0.37046,0.96465,0.98433,0.99429,0.99443,0.93061,0.4008,0.29033,1.01681,0.000709809,0.000709809,0.000709809
60,2212.5,0.41517,0.35345,0.95466,0.98499,0.99781,0.9946,0.91325,0.42985,0.29118,1.03706,0.000693305,0.000693305,0.000693305
61,2248.2,0.41551,0.36507,0.95107,0.9913,0.99172,0.99489,0.93349,0.39653,0.26952,1.00578,0.000676802,0.000676802,0.000676802
62,2285.31,0.40686,0.36787,0.95117,0.99156,0.99981,0.995,0.92024,0.43453,0.28196,1.04499,0.000660299,0.000660299,0.000660299
63,2321.66,0.39456,0.34398,0.94074,0.99245,0.99946,0.99463,0.91798,0.42427,0.2795,1.04223,0.000643795,0.000643795,0.000643795
64,2357.84,0.39556,0.33921,0.94405,0.9801,0.99953,0.99465,0.92571,0.40866,0.27179,1.00606,0.000627292,0.000627292,0.000627292
65,2394.08,0.38936,0.3336,0.94157,0.97026,0.99843,0.9938,0.92372,0.42866,0.29272,1.03412,0.000610789,0.000610789,0.000610789
66,2430.43,0.40074,0.34595,0.94755,0.99159,1,0.995,0.92406,0.41491,0.27492,1.01043,0.000594286,0.000594286,0.000594286
67,2467.02,0.37974,0.32564,0.94027,0.98266,0.99375,0.9947,0.93189,0.37722,0.27122,1.00544,0.000577782,0.000577782,0.000577782
68,2503.32,0.39716,0.34344,0.94514,0.98648,0.981,0.99432,0.92996,0.40061,0.26816,1.03847,0.000561279,0.000561279,0.000561279
69,2539.47,0.38493,0.32783,0.93094,0.99047,1,0.99481,0.93159,0.40197,0.26981,1.00888,0.000544776,0.000544776,0.000544776
70,2575.38,0.37766,0.32103,0.93605,0.99437,0.99768,0.995,0.93186,0.40244,0.28008,0.99408,0.000528272,0.000528272,0.000528272
71,2611.75,0.39058,0.33321,0.94693,0.98626,1,0.99489,0.92278,0.41301,0.25723,1.05624,0.000511769,0.000511769,0.000511769
72,2647.85,0.36227,0.311,0.92628,0.98918,0.99375,0.99465,0.92923,0.41146,0.26658,1.02597,0.000495266,0.000495266,0.000495266
73,2684.03,0.35363,0.30263,0.92451,0.99229,0.99428,0.99494,0.92296,0.41499,0.26569,1.0576,0.000478762,0.000478762,0.000478762
74,2720.06,0.36773,0.31582,0.93622,0.99768,0.99309,0.99494,0.92952,0.42297,0.26183,1.06358,0.000462259,0.000462259,0.000462259
75,2756.42,0.35096,0.3108,0.92401,0.99387,0.99419,0.99494,0.92637,0.40936,0.25724,1.04114,0.000445756,0.000445756,0.000445756
76,2792.33,0.36223,0.30153,0.92901,0.98958,0.98843,0.99483,0.92963,0.39628,0.26626,1.03118,0.000429253,0.000429253,0.000429253
77,2828.29,0.35248,0.29419,0.92631,0.99058,0.99375,0.99482,0.93144,0.40041,0.26423,1.03352,0.000412749,0.000412749,0.000412749
78,2864.19,0.34443,0.29762,0.91365,0.99248,0.98878,0.99489,0.93021,0.4248,0.26339,1.04784,0.000396246,0.000396246,0.000396246
79,2900.33,0.33608,0.28415,0.9233,0.99741,0.99007,0.995,0.93413,0.40324,0.253,1.04354,0.000379743,0.000379743,0.000379743
